CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_DATETIME
bicycle_theft,2018,March,14,Wednesday,21,Apartment,95,Annex (95),-79.4024159619513,43.6694533841135,2018-03-14 21:00:00
bicycle_theft,2018,March,14,Wednesday,1,Apartment,78,Kensington-Chinatown (78),-79.398547614909,43.6486749947715,2018-03-14 01:00:00
bicycle_theft,2017,November,20,Monday,16,Apartment,64,Woodbine Corridor (64),-79.3139180145718,43.6850080213411,2017-11-20 16:00:00
bicycle_theft,2018,March,20,Tuesday,7,House,70,South Riverdale (70),-79.347223951034,43.6574369312278,2018-03-20 07:00:00
bicycle_theft,2018,March,19,Monday,9,Outside,77,Waterfront Communities-The Island (77),-79.3834230658764,43.6450772508874,2018-03-19 09:00:00
bicycle_theft,2018,March,19,Monday,13,Apartment,79,University (79),-79.3989795424955,43.6654319829902,2018-03-19 13:00:00
bicycle_theft,2018,March,12,Monday,12,Outside,75,Church-Yonge Corridor (75),-79.3753233312597,43.648686886602,2018-03-12 12:00:00
bicycle_theft,2018,March,20,Tuesday,1,Apartment,77,Waterfront Communities-The Island (77),-79.3992782656221,43.6390930531603,2018-03-20 01:00:00
bicycle_theft,2018,March,19,Monday,12,Commercial,52,Bayview Village (52),-79.3712639657377,43.7703514351632,2018-03-19 12:00:00
bicycle_theft,2018,March,19,Monday,19,Other,88,High Park North (88),-79.4615642302699,43.6615096268699,2018-03-19 19:00:00
bicycle_theft,2018,March,8,Thursday,13,Other,77,Waterfront Communities-The Island (77),-79.3988626266637,43.6381169718995,2018-03-08 13:00:00
bicycle_theft,2018,March,19,Monday,2,Outside,77,Waterfront Communities-The Island (77),-79.3992782656221,43.6390930531603,2018-03-19 02:00:00
bicycle_theft,2018,March,20,Tuesday,19,Outside,77,Waterfront Communities-The Island (77),-79.3806368570576,43.6408626748579,2018-03-20 19:00:00
bicycle_theft,2018,March,18,Sunday,12,Outside,84,Little Portugal (84),-79.4255557625814,43.6514500460679,2018-03-18 12:00:00
bicycle_theft,2018,March,21,Wednesday,1,Outside,75,Church-Yonge Corridor (75),-79.3749675454664,43.6551430067869,2018-03-21 01:00:00
bicycle_theft,2018,March,21,Wednesday,11,Apartment,55,Thorncliffe Park (55),-79.3570419590779,43.7133401851931,2018-03-21 11:00:00
bicycle_theft,2018,February,5,Monday,21,Apartment,77,Waterfront Communities-The Island (77),-79.4023731849638,43.6446533989011,2018-02-05 21:00:00
bicycle_theft,2018,March,21,Wednesday,1,Outside,75,Church-Yonge Corridor (75),-79.3749675454664,43.6551430067869,2018-03-21 01:00:00
bicycle_theft,2018,March,13,Tuesday,13,Outside,90,Junction Area (90),-79.473261332968,43.6655076812443,2018-03-13 13:00:00
bicycle_theft,2018,March,13,Tuesday,14,Educational,79,University (79),-79.4017441596558,43.6621501886406,2018-03-13 14:00:00
bicycle_theft,2018,March,18,Sunday,1,Commercial,110,Keelesdale-Eglinton West (110),-79.4715946334402,43.682130025898,2018-03-18 01:00:00
bicycle_theft,2018,March,16,Friday,14,Outside,82,Niagara (82),-79.4104938833765,43.6416900871105,2018-03-16 14:00:00
bicycle_theft,2018,March,20,Tuesday,22,Other,81,Trinity-Bellwoods (81),-79.4122077747456,43.6494391356244,2018-03-20 22:00:00
bicycle_theft,2018,March,21,Wednesday,11,Apartment,85,South Parkdale (85),-79.425124863411,43.6404128261638,2018-03-21 11:00:00
bicycle_theft,2018,March,16,Friday,14,Outside,82,Niagara (82),-79.4104938833765,43.6416900871105,2018-03-16 14:00:00
bicycle_theft,2018,March,21,Wednesday,11,Apartment,85,South Parkdale (85),-79.425124863411,43.6404128261638,2018-03-21 11:00:00
bicycle_theft,2018,March,22,Thursday,7,Apartment,75,Church-Yonge Corridor (75),-79.3839454378172,43.6650598578391,2018-03-22 07:00:00
bicycle_theft,2018,March,22,Thursday,11,Apartment,104,Mount Pleasant West (104),-79.3869697113281,43.7003066376343,2018-03-22 11:00:00
bicycle_theft,2018,March,23,Friday,20,House,96,Casa Loma (96),-79.4142099400559,43.6753882990975,2018-03-23 20:00:00
bicycle_theft,2018,March,22,Thursday,12,Outside,76,Bay Street Corridor (76),-79.3837625531538,43.6557097782262,2018-03-22 12:00:00
bicycle_theft,2018,March,22,Thursday,17,Outside,73,Moss Park (73),-79.3713150922319,43.6538054019793,2018-03-22 17:00:00
bicycle_theft,2018,March,21,Wednesday,17,Apartment,82,Niagara (82),-79.4013255179405,43.6351704583523,2018-03-21 17:00:00
bicycle_theft,2018,March,22,Thursday,20,Commercial,77,Waterfront Communities-The Island (77),-79.3932743396989,43.6483871814248,2018-03-22 20:00:00
bicycle_theft,2018,March,22,Thursday,1,Apartment,75,Church-Yonge Corridor (75),-79.382401296975,43.6613682396022,2018-03-22 01:00:00
bicycle_theft,2018,March,21,Wednesday,18,Apartment,72,Regent Park (72),-79.3647697563659,43.6604417119691,2018-03-21 18:00:00
bicycle_theft,2018,March,24,Saturday,20,Educational,71,Cabbagetown-South St.James Town (71),-79.3682951564452,43.6650512866156,2018-03-24 20:00:00
bicycle_theft,2018,March,23,Friday,10,House,65,Greenwood-Coxwell (65),-79.3248901540833,43.6740492489368,2018-03-23 10:00:00
bicycle_theft,2018,March,10,Saturday,9,Apartment,94,Wychwood (94),-79.4312894228243,43.6805203190417,2018-03-10 09:00:00
bicycle_theft,2018,March,25,Sunday,18,Outside,83,Dufferin Grove (83),-79.4366011332856,43.6557476512861,2018-03-25 18:00:00
bicycle_theft,2018,March,24,Saturday,4,House,65,Greenwood-Coxwell (65),-79.3210745258124,43.6681160947355,2018-03-24 04:00:00
bicycle_theft,2018,March,22,Thursday,12,Educational,103,Lawrence Park South (103),-79.4102065253688,43.7224747818525,2018-03-22 12:00:00
bicycle_theft,2018,March,9,Friday,19,Outside,104,Mount Pleasant West (104),-79.3983628513372,43.7067258009751,2018-03-09 19:00:00
bicycle_theft,2018,March,25,Sunday,18,Apartment,71,Cabbagetown-South St.James Town (71),-79.3712116166946,43.6653017142337,2018-03-25 18:00:00
bicycle_theft,2018,March,24,Saturday,14,Other,76,Bay Street Corridor (76),-79.3877526880186,43.66118545599,2018-03-24 14:00:00
bicycle_theft,2018,March,9,Friday,8,Apartment,84,Little Portugal (84),-79.4237237800421,43.6411260156736,2018-03-09 08:00:00
bicycle_theft,2018,March,25,Sunday,0,House,66,Danforth (66),-79.3212179826605,43.6847352060899,2018-03-25 00:00:00
bicycle_theft,2018,March,24,Saturday,9,Outside,76,Bay Street Corridor (76),-79.3866249913636,43.6508466511827,2018-03-24 09:00:00
bicycle_theft,2018,March,8,Thursday,23,House,66,Danforth (66),-79.3212179826605,43.6847352060899,2018-03-08 23:00:00
bicycle_theft,2018,March,24,Saturday,8,Outside,61,Taylor-Massey (61),-79.2883551117969,43.6912262663953,2018-03-24 08:00:00
bicycle_theft,2018,March,26,Monday,14,Other,7,Willowridge-Martingrove-Richview (7),-79.5404981060822,43.6831825267193,2018-03-26 14:00:00
bicycle_theft,2018,March,26,Monday,16,Other,79,University (79),-79.3935225573828,43.6672588916623,2018-03-26 16:00:00
bicycle_theft,2018,March,26,Monday,14,Other,79,University (79),-79.4042130725165,43.6576222897871,2018-03-26 14:00:00
bicycle_theft,2018,March,26,Monday,1,Apartment,77,Waterfront Communities-The Island (77),-79.3868774976298,43.6492484563681,2018-03-26 01:00:00
bicycle_theft,2018,March,25,Sunday,1,House,93,Dovercourt-Wallace Emerson-Junction (93),-79.4506302548644,43.6658664295745,2018-03-25 01:00:00
bicycle_theft,2018,March,27,Tuesday,9,Other,75,Church-Yonge Corridor (75),-79.3781459596251,43.6544494455535,2018-03-27 09:00:00
bicycle_theft,2018,March,17,Saturday,19,Apartment,74,North St.James Town (74),-79.3758492709374,43.66648008921,2018-03-17 19:00:00
bicycle_theft,2018,March,9,Friday,8,Apartment,108,Briar Hill-Belgravia (108),-79.4401757618246,43.7041849930182,2018-03-09 08:00:00
bicycle_theft,2018,March,18,Sunday,19,Commercial,77,Waterfront Communities-The Island (77),-79.3992782656221,43.6390930531603,2018-03-18 19:00:00
bicycle_theft,2018,February,21,Wednesday,14,Outside,77,Waterfront Communities-The Island (77),-79.381108948255,43.642053465315,2018-02-21 14:00:00
bicycle_theft,2017,February,28,Tuesday,0,Outside,75,Church-Yonge Corridor (75),-79.3793711924586,43.6618695365329,2017-02-28 00:00:00
bicycle_theft,2018,March,23,Friday,16,Outside,76,Bay Street Corridor (76),-79.385048112432,43.6660574834816,2018-03-23 16:00:00
bicycle_theft,2018,March,27,Tuesday,9,Outside,75,Church-Yonge Corridor (75),-79.3774372265723,43.655699399838,2018-03-27 09:00:00
bicycle_theft,2018,January,8,Monday,9,Educational,79,University (79),-79.3999164704633,43.6597958301758,2018-01-08 09:00:00
bicycle_theft,2018,March,28,Wednesday,14,Outside,76,Bay Street Corridor (76),-79.3913807666852,43.6685235089998,2018-03-28 14:00:00
bicycle_theft,2018,March,27,Tuesday,1,House,81,Trinity-Bellwoods (81),-79.4103246699134,43.649805595104,2018-03-27 01:00:00
bicycle_theft,2018,March,27,Tuesday,7,Commercial,76,Bay Street Corridor (76),-79.3821273102202,43.6496085363322,2018-03-27 07:00:00
bicycle_theft,2018,March,28,Wednesday,9,Transit,62,East End-Danforth (62),-79.3009322535858,43.6861014629029,2018-03-28 09:00:00
bicycle_theft,2018,March,29,Thursday,6,Outside,81,Trinity-Bellwoods (81),-79.409977598193,43.6555147082377,2018-03-29 06:00:00
bicycle_theft,2018,March,28,Wednesday,8,Other,36,Newtonbrook West (36),-79.4228712577073,43.7869557906921,2018-03-28 08:00:00
bicycle_theft,2018,March,29,Thursday,6,House,80,Palmerston-Little Italy (80),-79.4182634540295,43.658113111257,2018-03-29 06:00:00
bicycle_theft,2018,March,29,Thursday,9,Educational,56,Leaside-Bennington (56),-79.37147547595,43.7110215080861,2018-03-29 09:00:00
bicycle_theft,2018,March,28,Wednesday,22,House,94,Wychwood (94),-79.42577088424,43.6788622536846,2018-03-28 22:00:00
bicycle_theft,2018,January,1,Monday,12,Apartment,77,Waterfront Communities-The Island (77),-79.3840049198687,43.6423846483867,2018-01-01 12:00:00
bicycle_theft,2018,March,30,Friday,12,Apartment,104,Mount Pleasant West (104),-79.3986747447645,43.7082035331916,2018-03-30 12:00:00
bicycle_theft,2018,January,1,Monday,12,Apartment,77,Waterfront Communities-The Island (77),-79.3840049198687,43.6423846483867,2018-01-01 12:00:00
bicycle_theft,2018,March,29,Thursday,18,Other,80,Palmerston-Little Italy (80),-79.4269010933554,43.6566234146564,2018-03-29 18:00:00
bicycle_theft,2018,March,30,Friday,18,Apartment,77,Waterfront Communities-The Island (77),-79.3992782656221,43.6390930531603,2018-03-30 18:00:00
bicycle_theft,2018,March,29,Thursday,0,Apartment,63,The Beaches (63),-79.2890993114702,43.6701517811521,2018-03-29 00:00:00
bicycle_theft,2018,March,26,Monday,11,Apartment,95,Annex (95),-79.405351150397,43.6663526952036,2018-03-26 11:00:00
bicycle_theft,2018,March,30,Friday,10,Apartment,42,Banbury-Don Mills (42),-79.3502100682281,43.7362554925493,2018-03-30 10:00:00
bicycle_theft,2018,March,30,Friday,6,Commercial,26,Downsview-Roding-CFB (26),-79.4699253398837,43.7346637302592,2018-03-30 06:00:00
bicycle_theft,2018,March,31,Saturday,7,House,93,Dovercourt-Wallace Emerson-Junction (93),-79.435757718873,43.6706013589439,2018-03-31 07:00:00
bicycle_theft,2018,April,1,Sunday,9,Apartment,97,Yonge-St.Clair (97),-79.3973405900935,43.6950861821875,2018-04-01 09:00:00
bicycle_theft,2017,November,21,Tuesday,20,House,81,Trinity-Bellwoods (81),-79.4177146904152,43.6516917396429,2017-11-21 20:00:00
bicycle_theft,2018,April,2,Monday,7,Other,93,Dovercourt-Wallace Emerson-Junction (93),-79.4303392590469,43.667017118253,2018-04-02 07:00:00
bicycle_theft,2018,April,1,Sunday,23,Educational,79,University (79),-79.3984410457481,43.6641032676592,2018-04-01 23:00:00
bicycle_theft,2018,April,1,Sunday,22,House,93,Dovercourt-Wallace Emerson-Junction (93),-79.442023768066,43.6723152510911,2018-04-01 22:00:00
bicycle_theft,2018,April,2,Monday,7,Other,93,Dovercourt-Wallace Emerson-Junction (93),-79.4303392590469,43.667017118253,2018-04-02 07:00:00
bicycle_theft,2018,April,3,Tuesday,14,House,127,Bendale (127),-79.2625042707699,43.7676811298285,2018-04-03 14:00:00
bicycle_theft,2018,April,2,Monday,9,Outside,95,Annex (95),-79.387862832606,43.6728676683215,2018-04-02 09:00:00
bicycle_theft,2018,March,30,Friday,2,Apartment,86,Roncesvalles (86),-79.4449069260493,43.6499686618916,2018-03-30 02:00:00
bicycle_theft,2018,March,27,Tuesday,18,Apartment,88,High Park North (88),-79.466846509997,43.657221503131,2018-03-27 18:00:00
bicycle_theft,2018,March,21,Wednesday,12,Outside,14,Islington-City Centre West (14),-79.5376363713104,43.6389709665912,2018-03-21 12:00:00
bicycle_theft,2018,April,3,Tuesday,21,Commercial,63,The Beaches (63),-79.3292912588279,43.6611069263432,2018-04-03 21:00:00
bicycle_theft,2018,March,30,Friday,2,Apartment,86,Roncesvalles (86),-79.4449069260493,43.6499686618916,2018-03-30 02:00:00
bicycle_theft,2018,February,1,Thursday,17,Apartment,84,Little Portugal (84),-79.4228501195505,43.6412319157113,2018-02-01 17:00:00
bicycle_theft,2018,April,3,Tuesday,17,Outside,93,Dovercourt-Wallace Emerson-Junction (93),-79.428201614875,43.6614303059319,2018-04-03 17:00:00
bicycle_theft,2018,April,5,Thursday,0,Outside,98,Rosedale-Moore Park (98),-79.3886582091704,43.688168569816,2018-04-05 00:00:00
bicycle_theft,2018,April,5,Thursday,0,Outside,98,Rosedale-Moore Park (98),-79.3886582091704,43.688168569816,2018-04-05 00:00:00
bicycle_theft,2018,April,4,Wednesday,15,Other,77,Waterfront Communities-The Island (77),-79.3932743396989,43.6483871814248,2018-04-04 15:00:00
bicycle_theft,2018,April,5,Thursday,0,Apartment,65,Greenwood-Coxwell (65),-79.3292271797676,43.6765886006767,2018-04-05 00:00:00
bicycle_theft,2018,April,5,Thursday,0,Apartment,65,Greenwood-Coxwell (65),-79.3292271797676,43.6765886006767,2018-04-05 00:00:00
bicycle_theft,2018,March,1,Thursday,0,Outside,74,North St.James Town (74),-79.3754174055306,43.6712734258831,2018-03-01 00:00:00
bicycle_theft,2018,April,5,Thursday,0,Apartment,65,Greenwood-Coxwell (65),-79.3292271797676,43.6765886006767,2018-04-05 00:00:00
bicycle_theft,2018,April,6,Friday,15,Educational,5,Elms-Old Rexdale (5),-79.5498542453672,43.7155670428325,2018-04-06 15:00:00
