CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_DATETIME
robbery,2015,January,11,Sunday,4,Outside,25,Glenfield-Jane Heights (25),-79.5150187164876,43.7464562914515,2015-01-11 04:00:00
robbery,2015,January,11,Sunday,15,Outside,74,North St.James Town (74),-79.378222465974,43.6710753323309,2015-01-11 15:00:00
robbery,2015,January,11,Sunday,19,Outside,138,Eglinton East (138),-79.2382154366536,43.7460153525929,2015-01-11 19:00:00
robbery,2015,January,11,Sunday,20,Outside,51,Willowdale East (51),-79.4009478767697,43.7602193629234,2015-01-11 20:00:00
robbery,2015,January,11,Sunday,21,Outside,4,Rexdale-Kipling (4),-79.5726738590126,43.7241245932046,2015-01-11 21:00:00
robbery,2015,January,11,Sunday,19,Outside,138,Eglinton East (138),-79.2382154366536,43.7460153525929,2015-01-11 19:00:00
robbery,2015,January,12,Monday,3,Commercial,94,Wychwood (94),-79.4356858552149,43.6795858409948,2015-01-12 03:00:00
robbery,2015,January,12,Monday,19,Commercial,127,Bendale (127),-79.2616384833215,43.7522107575232,2015-01-12 19:00:00
robbery,2015,January,12,Monday,14,Outside,127,Bendale (127),-79.2644593218745,43.7496871426905,2015-01-12 14:00:00
robbery,2015,January,12,Monday,20,Apartment,139,Scarborough Village (139),-79.2123814987007,43.7445979255769,2015-01-12 20:00:00
robbery,2015,January,12,Monday,13,Apartment,9,Edenbridge-Humber Valley (9),-79.520122782795,43.6638609040758,2015-01-12 13:00:00
robbery,2015,January,12,Monday,15,Outside,110,Keelesdale-Eglinton West (110),-79.4672876210789,43.6894010059561,2015-01-12 15:00:00
robbery,2015,January,12,Monday,3,Commercial,94,Wychwood (94),-79.4356858552149,43.6795858409948,2015-01-12 03:00:00
robbery,2015,January,4,Sunday,20,Outside,73,Moss Park (73),-79.3723862579924,43.6581644029417,2015-01-04 20:00:00
robbery,2015,January,7,Wednesday,20,Outside,2,Mount Olive-Silverstone-Jamestown (2),-79.588344443801,43.7562272550527,2015-01-07 20:00:00
robbery,2015,January,12,Monday,14,Outside,127,Bendale (127),-79.2644593218745,43.7496871426905,2015-01-12 14:00:00
robbery,2015,January,12,Monday,16,Commercial,118,Tam O'Shanter-Sullivan (118),-79.3209068568655,43.7743969799686,2015-01-12 16:00:00
robbery,2015,January,12,Monday,20,Outside,24,Black Creek (24),-79.5177280946691,43.7572287132495,2015-01-12 20:00:00
robbery,2015,January,12,Monday,15,Outside,110,Keelesdale-Eglinton West (110),-79.4673625489281,43.6881387157223,2015-01-12 15:00:00
robbery,2015,January,12,Monday,13,Outside,73,Moss Park (73),-79.3701189610184,43.6561565368618,2015-01-12 13:00:00
robbery,2015,January,13,Tuesday,1,Commercial,95,Annex (95),-79.4071191231072,43.6748511460388,2015-01-13 01:00:00
robbery,2015,January,13,Tuesday,18,Outside,27,York University Heights (27),-79.4957595573046,43.7539186581505,2015-01-13 18:00:00
robbery,2015,January,13,Tuesday,16,Outside,75,Church-Yonge Corridor (75),-79.3773667066641,43.6478400972191,2015-01-13 16:00:00
robbery,2015,January,13,Tuesday,21,Commercial,138,Eglinton East (138),-79.2598975790729,43.7357705483908,2015-01-13 21:00:00
robbery,2015,January,13,Tuesday,21,Commercial,138,Eglinton East (138),-79.2598975790729,43.7357705483908,2015-01-13 21:00:00
robbery,2015,January,13,Tuesday,18,Outside,27,York University Heights (27),-79.4957595573046,43.7539186581505,2015-01-13 18:00:00
robbery,2015,January,13,Tuesday,18,Outside,27,York University Heights (27),-79.4957595573046,43.7539186581505,2015-01-13 18:00:00
robbery,2015,January,13,Tuesday,1,Commercial,95,Annex (95),-79.4071191231072,43.6748511460388,2015-01-13 01:00:00
robbery,2015,January,13,Tuesday,22,Outside,137,Woburn (137),-79.2470244743144,43.7805325312627,2015-01-13 22:00:00
robbery,2015,January,12,Monday,18,Outside,14,Islington-City Centre West (14),-79.5234343681003,43.6446423020673,2015-01-12 18:00:00
robbery,2015,January,13,Tuesday,17,Apartment,2,Mount Olive-Silverstone-Jamestown (2),-79.582640055828,43.746795946334,2015-01-13 17:00:00
robbery,2015,January,13,Tuesday,1,Commercial,95,Annex (95),-79.4071191231072,43.6748511460388,2015-01-13 01:00:00
robbery,2015,January,13,Tuesday,1,Apartment,2,Mount Olive-Silverstone-Jamestown (2),-79.588344443801,43.7562272550527,2015-01-13 01:00:00
robbery,2015,January,13,Tuesday,12,Outside,28,Rustic (28),-79.4962418041927,43.7095500661443,2015-01-13 12:00:00
robbery,2015,January,13,Tuesday,16,Outside,75,Church-Yonge Corridor (75),-79.3773667066641,43.6478400972191,2015-01-13 16:00:00
robbery,2015,January,13,Tuesday,21,Commercial,138,Eglinton East (138),-79.2598975790729,43.7357705483908,2015-01-13 21:00:00
robbery,2015,January,13,Tuesday,18,Outside,27,York University Heights (27),-79.4957595573046,43.7539186581505,2015-01-13 18:00:00
robbery,2015,January,13,Tuesday,17,Apartment,2,Mount Olive-Silverstone-Jamestown (2),-79.582640055828,43.746795946334,2015-01-13 17:00:00
robbery,2015,January,13,Tuesday,22,Outside,28,Rustic (28),-79.5000484316203,43.703608393915,2015-01-13 22:00:00
robbery,2015,January,13,Tuesday,20,Outside,130,Milliken (130),-79.2949308075774,43.8207016056143,2015-01-13 20:00:00
robbery,2015,January,13,Tuesday,22,Outside,137,Woburn (137),-79.2470244743144,43.7805325312627,2015-01-13 22:00:00
robbery,2015,January,14,Wednesday,9,Outside,18,New Toronto (18),-79.5190800366487,43.6004349524508,2015-01-14 09:00:00
robbery,2015,January,14,Wednesday,6,House,66,Danforth (66),-79.3442995896624,43.680651809697,2015-01-14 06:00:00
robbery,2015,January,14,Wednesday,21,Outside,127,Bendale (127),-79.2587836084788,43.7490093830613,2015-01-14 21:00:00
robbery,2015,January,14,Wednesday,21,Outside,127,Bendale (127),-79.2587836084788,43.7490093830613,2015-01-14 21:00:00
robbery,2015,January,14,Wednesday,19,Outside,134,Highland Creek (134),-79.1782110876829,43.7938809540382,2015-01-14 19:00:00
robbery,2015,January,14,Wednesday,19,Outside,137,Woburn (137),-79.2398188537799,43.7594723229599,2015-01-14 19:00:00
robbery,2015,January,14,Wednesday,21,Outside,127,Bendale (127),-79.2587836084788,43.7490093830613,2015-01-14 21:00:00
