CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_TIMESTAMP
shooting,2015,September,3,Thursday,5,N/A,121,Oakridge (121),-79.2769909486478,43.7023905891261,2015-09-03 05:00:00-0500
shooting,2015,November,17,Tuesday,19,N/A,24,Black Creek (24),-79.5196851774208,43.7659026187864,2015-11-17 19:00:00-0500
shooting,2015,June,9,Tuesday,1,N/A,28,Rustic (28),-79.5003028421864,43.7083769009575,2015-06-09 01:00:00-0500
shooting,2015,October,4,Sunday,22,N/A,137,Woburn (137),-79.2329757943567,43.7795385184135,2015-10-04 22:00:00-0500
shooting,2015,July,28,Tuesday,19,N/A,53,Henry Farm (53),-79.341204046163,43.7731799575993,2015-07-28 19:00:00-0500
shooting,2015,August,21,Friday,15,N/A,75,Church-Yonge Corridor (75),-79.3815835898378,43.6579016227217,2015-08-21 15:00:00-0500
shooting,2015,November,19,Thursday,18,N/A,71,Cabbagetown-South St.James Town (71),-79.366251770667,43.6626720727805,2015-11-19 18:00:00-0500
shooting,2015,August,13,Thursday,14,N/A,45,Parkwoods-Donalda (45),-79.3352992067131,43.7625832430434,2015-08-13 14:00:00-0500
shooting,2015,March,14,Saturday,2,N/A,18,New Toronto (18),-79.5097956270225,43.6017144559997,2015-03-14 02:00:00-0500
shooting,2015,May,22,Friday,17,N/A,21,Humber Summit (21),-79.5706184385018,43.7550159520453,2015-05-22 17:00:00-0500
shooting,2015,January,21,Wednesday,20,N/A,126,Dorset Park (126),-79.2794542892007,43.7612921978828,2015-01-21 20:00:00-0500
shooting,2015,April,3,Friday,10,N/A,110,Keelesdale-Eglinton West (110),-79.4705544682761,43.6796890822857,2015-04-03 10:00:00-0500
shooting,2015,June,29,Monday,17,N/A,132,Malvern (132),-79.2370551521655,43.7895483411065,2015-06-29 17:00:00-0500
shooting,2015,September,24,Thursday,20,N/A,44,Flemingdon Park (44),-79.3314028565531,43.7183540889318,2015-09-24 20:00:00-0500
shooting,2015,January,11,Sunday,21,N/A,54,O'Connor-Parkview (54),-79.297390773653,43.7030035388153,2015-01-11 21:00:00-0500
shooting,2015,October,27,Tuesday,0,N/A,16,Stonegate-Queensway (16),-79.4993932546893,43.6266613029882,2015-10-27 00:00:00-0500
shooting,2015,June,19,Friday,19,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.5885303992659,43.7386883242005,2015-06-19 19:00:00-0500
