,date,policy_rate
361,2021-12-03,0.5
362,2021-12-02,0.5
363,2021-12-01,0.5
364,2021-11-30,0.5
365,2021-11-29,0.5
366,2021-11-26,0.5
367,2021-11-25,0.5
368,2021-11-24,0.5
369,2021-11-23,0.5
370,2021-11-22,0.5
371,2021-11-19,0.5
372,2021-11-18,0.5
373,2021-11-17,0.5
374,2021-11-16,0.5
375,2021-11-15,0.5
376,2021-11-12,0.5
377,2021-11-11,0.5
378,2021-11-10,0.5
379,2021-11-09,0.5
380,2021-11-08,0.5
381,2021-11-05,0.5
382,2021-11-04,0.5
383,2021-11-03,0.5
384,2021-11-02,0.5
385,2021-11-01,0.5
386,2021-10-29,0.5
387,2021-10-28,0.5
388,2021-10-27,0.5
389,2021-10-26,0.5
390,2021-10-25,0.5
391,2021-10-22,0.5
392,2021-10-21,0.5
393,2021-10-20,0.5
394,2021-10-19,0.5
395,2021-10-18,0.5
396,2021-10-15,0.5
397,2021-10-14,0.5
398,2021-10-13,0.5
399,2021-10-12,0.5
400,2021-10-11,0.5
401,2021-10-08,0.5
402,2021-10-07,0.5
403,2021-10-06,0.5
404,2021-10-05,0.5
405,2021-10-04,0.5
406,2021-10-01,0.5
407,2021-09-30,0.5
408,2021-09-29,0.5
409,2021-09-28,0.5
410,2021-09-27,0.5
411,2021-09-24,0.5
412,2021-09-23,0.5
413,2021-09-22,0.5
414,2021-09-21,0.5
415,2021-09-20,0.5
416,2021-09-17,0.5
417,2021-09-16,0.5
418,2021-09-15,0.5
419,2021-09-14,0.5
420,2021-09-13,0.5
421,2021-09-10,0.5
422,2021-09-09,0.5
423,2021-09-08,0.5
424,2021-09-07,0.5
425,2021-09-06,0.5
426,2021-09-03,0.5
427,2021-09-02,0.5
428,2021-09-01,0.5
429,2021-08-31,0.5
430,2021-08-30,0.5
431,2021-08-27,0.5
432,2021-08-26,0.5
433,2021-08-25,0.5
434,2021-08-24,0.5
435,2021-08-23,0.5
436,2021-08-20,0.5
437,2021-08-19,0.5
438,2021-08-18,0.5
439,2021-08-17,0.5
440,2021-08-16,0.5
441,2021-08-13,0.5
442,2021-08-12,0.5
443,2021-08-11,0.5
